RefDes,Name,Pattern,X (in),Y (in),Side,Rotate,Value
But1,6mm Tactile SW smallpads,TL1105SP Smaller Pads,0.725,4.144,Bottom,90,add
But2,6mm Tactile SW smallpads,TL1105SP Smaller Pads,0.185,4.144,Bottom,90,del
C2,CAP_0603,CAP_0603,0.577,2.493,Top,0,100n
C3,CAP_0603,CAP_0603,0.454,3.291,Top,270,100n
C4,CPOL-USD,CAPAE-4.3x4.3h5.4,0.594,3.106,Top,270,22u
C5,CPOL-USC,CAPAE-4.3x4.3h5.4,0.321,3.014,Top,0,22u
C6,CAP_0603,CAP_0603,0.602,2.831,Top,0,100n
C7,CAP_0603,CAP_0603,0.15,3.904,Top,270,100n
C8,CAP_0603,CAP_0603,1.312,3.91,Top,270,3.3u
C10,CAP_0603,CAP_0603,0.171,2.837,Top,180,100n
C11,CPOL-USC,CAPAE-4.3x4.3h5.4,1.394,2.088,Top,0,22u
C12,CAP_0603,CAP_0603,0.771,2.562,Top,270,470n
C13,CAP_0603,CAP_0603,0.928,2.841,Top,270,100n
C14,CAP_0603,CAP_0603,0.679,2.916,Top,0,3.3u
C15,CPOL-USC,CAPAE-4.3x4.3h5.4,0.6,3.418,Top,270,22u
C16,CAP_0603,CAP_0603,0.448,3.552,Top,270,100n
C17,CAP_0603,CAP_0603,0.85,3.367,Top,270,1u
C18,CAP_0603,CAP_0603,0.756,3.373,Top,270,1u
C19,CAP_0603,CAP_0603,0.856,3.202,Top,90,1u
C20,CAP_0603,CAP_0603,0.763,3.202,Top,90,1u
C21,CPOL-USD,CAPAE-4.3x4.3h5.4,1.163,1.425,Top,90,22u
C22,CAP_0603,CAP_0603,1.475,3.446,Top,90,560p
C23,CAP_0603,CAP_0603,0.646,1.244,Top,0,18p
C24,CAP_0603,CAP_0603,1.21,0.327,Top,180,100n
C25,CAP_0603,CAP_0603,1.225,0.888,Top,180,100n
C26,CAP_0603,CAP_0603,1.318,3.468,Top,0,100n
C27,CAP_0603,CAP_0603,1.475,2.985,Top,270,560p
C28,CAP_0603,CAP_0603,1.057,0.123,Top,180,100n
C29,CAP_0603,CAP_0603,0.388,0.888,Top,180,100n
C30,CAP_0603,CAP_0603,1.279,2.628,Top,180,100n
C31,CAP_0603,CAP_0603,1.44,2.635,Top,0,560p
C34,CAP_0603,CAP_0603,0.465,1.275,Top,180,100n
C35,CAP_0603,CAP_0603,0.466,0.324,Top,180,100n
C36,CAP_0603,CAP_0603,1.342,2.955,Top,180,100n
C37,CAP_0603,CAP_0603,1.165,0.657,Top,180,100n
C38,CAP_0603,CAP_0603,0.121,1.167,Top,180,18p
C39,CAP_0603,CAP_0603,0.908,0.806,Top,0,18p
C40,CAP_0603,CAP_0603,0.877,0.281,Top,180,18p
C41,CAP_0603,CAP_0603,0.29,0.656,Top,180,100n
